Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
2,1992-93,42.0,21.0,11.0,10.0,57.0,40.0,17.0,74.0
10,1993-94,42.0,15.0,12.0,15.0,46.0,50.0,-4.0,57.0
18,1994-95,42.0,11.0,15.0,16.0,51.0,56.0,-5.0,48.0
4,1995-96,38.0,18.0,9.0,11.0,52.0,35.0,17.0,63.0
5,1996-97,38.0,17.0,10.0,11.0,47.0,34.0,13.0,61.0
7,1997-98,38.0,17.0,6.0,15.0,49.0,48.0,1.0,57.0
6,1998-99,38.0,15.0,10.0,13.0,51.0,46.0,5.0,55.0
6,1999-00,38.0,15.0,13.0,10.0,46.0,35.0,11.0,58.0
8,2000-01,38.0,13.0,15.0,10.0,46.0,43.0,3.0,54.0
8,2001-02,38.0,12.0,14.0,12.0,46.0,47.0,-1.0,50.0
16,2002-03,38.0,12.0,9.0,17.0,42.0,47.0,-5.0,45.0
6,2003-04,38.0,15.0,11.0,12.0,48.0,44.0,4.0,56.0
10,2004-05,38.0,12.0,11.0,15.0,45.0,52.0,-7.0,47.0
16,2005-06,38.0,10.0,12.0,16.0,42.0,55.0,-13.0,42.0
11,2006-07,38.0,11.0,17.0,10.0,43.0,41.0,2.0,50.0
6,2007-08,38.0,16.0,12.0,10.0,71.0,51.0,20.0,60.0
6,2008-09,38.0,17.0,11.0,10.0,54.0,48.0,6.0,62.0
6,2009-10,38.0,17.0,13.0,8.0,52.0,39.0,13.0,64.0
9,2010-11,38.0,12.0,12.0,14.0,48.0,59.0,-11.0,48.0
16,2011-12,38.0,7.0,17.0,14.0,37.0,53.0,-16.0,38.0
15,2012-13,38.0,10.0,11.0,17.0,47.0,69.0,-22.0,41.0
15,2013-14,38.0,10.0,8.0,20.0,39.0,61.0,-22.0,38.0
17,2014-15,38.0,10.0,8.0,20.0,31.0,57.0,-26.0,38.0
20,2015-16,38.0,3.0,8.0,27.0,27.0,76.0,-49.0,17.0
17,2019-20,38.0,9.0,8.0,21.0,41.0,67.0,-26.0,35.0
11,2020-21,38.0,16.0,7.0,15.0,55.0,46.0,9.0,55.0
14,2021-22,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0
